Project,Client,Title,Duration
SOS2021-06,,#1 Hacer L02,00:00:12
SOS2021-06,,#10 Heroku,15:41:08
SOS2021-06,,#12 Carpeta /public,03:35:00
SOS2021-06,,#13 API´s Heroku,03:03:01
SOS2021-06,,#14 Crear API streaming,04:12:29
SOS2021-06,,#15 Heroku API configure,03:22:00
SOS2021-06,,#17 L07  Postman,03:17:00
SOS2021-06,,#2 Terminar columna excel,00:30:37
SOS2021-06,,#20 API REST Data base,06:26:00
SOS2021-06,,#22 configure svelte and start doing front-end,03:31:00
SOS2021-06,,#23 Front-end Svelte,00:43:33
SOS2021-06,,#24 TV.svelte configure,04:06:08
SOS2021-06,,#25 Back-End Svelte,09:36:19
SOS2021-06,,#26 Create Info Pagination,06:30:45
SOS2021-06,,#27 Act television-stats table,02:42:23
SOS2021-06,,#28 Front_End,09:37:51
SOS2021-06,,#29 Front-end Svelte delete recurso,03:14:00
SOS2021-06,,#3 Tener instalado chrome,00:01:55
SOS2021-06,,#30 Update GUI  table Television,07:41:28
SOS2021-06,,#31 Búsqueda y Paginación,07:33:47
SOS2021-06,,#32 Front-end Svelte,02:56:40
SOS2021-06,,#33 API´s Charts,06:42:39
SOS2021-06,,#34 Graphics svelte,10:03:20
SOS2021-06,,#35 Grafica no line highcharts,04:10:00
SOS2021-06,,#36 D03,05:37:49
SOS2021-06,,#36 Integraciones,18:49:55
SOS2021-06,,#37 D03,03:05:00
SOS2021-06,,#38 Integraciones/usos,11:23:00
SOS2021-06,,#39 Apis externas,01:02:00
SOS2021-06,,#40 Video y arreglando fallos,00:42:52
SOS2021-06,,#5 Implementacion servidor web,03:41:54
SOS2021-06,,#6 Postman,00:05:00
SOS2021-06,,#7 Instalar Postman,00:02:26
SOS2021-06,,#8 Instalar POSTMAN,00:02:21
SOS2021-06,,F02,01:44:00
SOS2021-06,,,03:00:00
